,692,"4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","99,13%","4,48%","4,48%","4,48%","100,00%","100,00%","4,48%","4,48%","4,48%","4,48%","100,00%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","94,65%","4,48%","83,96%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","99,71%","4,48%","8,82%","4,48%","29,77%","4,48%","4,48%","94,65%","4,48%","4,48%","4,48%","11,42%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","4,48%","99,71%","5,35%","99,71%","4,48%"
,en,af,am,ar,bg,bn-rBD,ca,cs,da,de,el,en-rGB,en-rIN,es,es-rUS,et-rEE,eu-rES,fa,fi,fr,fr-rCA,gl-rES,hi,hr,hu,hy-rAM,in,in-rID,is-rIS,it,iw,ja,ka-rGE,kk-rKZ,km-rKH,kn-rIN,ko,ky-rKG,lo-rLA,lt,lv,mk-rMK,ml-rIN,mn-rMN,mr-rIN,ms-rMY,my-rMM,nb,ne-rNP,nl,pl,pt,pt-rBR,pt-rPT,ro,ru,ru-rRU,si-rLK,sk,sl,sr,sv,sw,ta-rIN,te-rIN,th,tl,tr,uk,ur-rPK,uz-rUZ,vi,zh-rCN,zh-rHK,zh-rTW,zu
pic_two_second,photos every 2 sec.,,,,,,,,,Bilder alle 2 sek.,,,,Fotos cada 2 segs.,Fotos cada 2 segs.,,,,,photos toutes les 2 sec.,,,,,,,,foto setiap 2 detik.,,Foto ogni 2 secondi.,,,,,,,,,,,,,,,,,,,,elke 2 sec. een foto,,,,Fotografia a cada 2 seg,,,фото за каждые 2 секунды,,,,,,,,,,,,,,,,张/2秒,,張/2秒,
piv_not_allowed,Failed to capture.,,,,,,,,,Erfassung fehlgeschlagen.,,,,Fallo en la captura,Fallo en la captura,,,,,Capture échouée,,,,,,,,Gagal mengambil gambar.,,Registrazione fallita.,,,,,,,,,,,,,,,,,,,,Opname mislukt.,,,,Erro ao capturar,,,Не удалось сфотографировать.,,,,Неуспешно повезивање,,,,,,,,,,,,抓拍失败,,抓拍失敗,
whatsapp_client_inavailable,WhatsApp client not exists or the version is too low,,,,,,,,,WhatsApp Kunde existiert nicht oder eine veraltete Version wird verwendet,,,,La cuenta WhatsApp no existe o la versión está desactualizada,La cuenta WhatsApp no existe o la versión está desactualizada,,,,,Client WhatsApp inexistant ou version trop ancienne,,,,,,,,WhatsApp client not exists or the version is too low,,WhatsApp non è installato o la versione è troppo vecchia,,,,,,,,,,,,,,,,,,,,"WhatsApp niet gevonden, of te oud.",,,,Cliente de WhatsApp não encontrado ou versão antiga,,,Такого аккаунта WhatsApp не существует или слишком низкая версия,,,,ВатсАп клиент не постоји или је неодговарајуће верзије,,,,,,,,,,,,WhatsApp客户端不存在或版本过低,,WhatsApp客戶端不存在或版本較舊,
skip,Skip,,,,,,,,,Überspringen,,,,Omitir,Omitir,,,,,Passer,,,,,,,,Lewatkan,,Salta,,,,,,,,,,,,,,,,,,,,Overslaan,,,,Saltar,,,Пропустить,,,,Прескочи,,,,,,,,,,,,跳过,,略過,
auto_low_light,Auto low light,,,,,,,,,Auto Low Light,,,,Modo Nocturno automático,Modo Nocturno automático,,,,,Basse lumière automatique,,,,,,,,Pencahayaan Rendah Otomatis,,Modalità notturna automatica,,,,,,,,,,,,,,,,,,,,Auto weinig licht,,,,Modo pouca luz automatico,,,Авто низкое освещение,,,,Аутоматски мод слабог осветљења,,,,,,,,,,,,自动低光,,自動低光,
setting_buzzer_ring,Find camera,,,,,,,,,Kamera finden,,,,Buscar cámara,Buscar cámara,,,,,Recherche camera,,,,,,,,Temukan Kamera,,Trova camera,,,,,,,,,,,,,,,,,,,,Zoek camera,,,,Procurar Câmera,,,Найти камеру,,,,Нађи камеру,,,,,,,,,,,,查找相机,,尋找相機,
prompt_switch_network_title,Switch network,,,,,,,,,Netzwerk wechseln,,,,Cambiando de red,Cambiando de red,,,,,Changer de réseau,,,,,,,,Ubah jaringan,,Cambia rete,,,,,,,,,,,,,,,,,,,,Wissel netwerk,,,,Mudar de rede,,,Изменить сеть,,,,Промени мрежу,,,,,,,,,,,,切换网络,,切換網路,
share_finish,Successfully shared! Would you like to reconnect your camera now?,,,,,,,,,Erfolgreich geteilt! Möchten Sie nun Ihre Kamere wieder verbinden?,,,,Compartido! ¿Reconectar con la cámara?,Compartido! ¿Reconectar con la cámara?,,,,,Partage réussi! Voulez-vous reconnecter la caméra maintenant?,,,,,,,,"Berhasil disebarkan, apakah anda ingin terhubung dengan kamera sekarang ?",,,,,,,,,,,,,,,,,,,,,,Delen gelukt! Opnieuw met de camera verbinden?,,,,Partilha com Sucesso! Reconectar a Câmera?,,,Успешно! Хотите подключить камеру сейчас?,,,,Успешно подељено! Да ли желите да поново повежете камеру?,,,,,,,,,,,,确认分享完成，重新连接相机？,,確認分享完成，重新連接相機？,
video_edit_next_description,Next,,,,,,,,,Weiter,,,,Siguiente,Siguiente,,,,,Suivant,,,,,,,,Lanjut,,Prossimo,,,,,,,,,,,,,,,,,,,,Volgende,,,,Próximo,,,Далее,,,,Даље,,,,,,,,,,,,下一步,,下一步,
sns_found_photo,Popular photos,,,,,,,,,Beliebte Bilder,,,,Fotos populares,Fotos populares,,,,,Photos populaires,,,,,,,,Foto Populer,,Foto popolari,,,,,,,,,,,,,,,,,,,,Populaire foto's,,,,Fotografias Populares,,,Популярные фото,,,,Популарне фотографије,,,,,,,,,,,,热门照片,,熱門相片,
restore_factory_success,Please turn on Wi-Fi to connect after beeps.,,,,,,,,,"Bitte schalten Sie das WLAN ein, um nach dem Signalton eine Verbindung herzustellen.",,,,Active el Wi-Fi y vuelva a conectarse después de los pitidos,Active el Wi-Fi y vuelva a conectarse después de los pitidos,,,,,Merci d'activer le wifi après les bips pour se connecter,,,,,,,,Silahkan hidupkan koneksi Wi-Fi setelah mendengar bunyi beep,,Per favore accendi la rete Wi-Fi per connettersi dopo i beep,,,,,,,,,,,,,,,,,,,,Zet de wifi aan na de piepjes.,,,,Por Favor ligar Wi-Fi para ligar após beeps,,,"Пожалуйста, включите Wi-Fi после звуковых сигналов.",,,,Молим укључите „Wi-Fi“ да бисте се повезали,,,,,,,,,,,,请在听到连续滴滴声后，重新开启Wi-Fi进行连接！,,請在聽到連續嗶嗶聲後，重新開啟Wifi進行連接！,
sd_card_format_now,"SDcard need format,Do it now？",,,,,,,,,"SD Karte sollte formatiert werden, möchten Sie mit der Formatierung jetzt beginnen？",,,,La tarjeta SD necesita ser formateada. ¿Desea hacerlo ahora?,La tarjeta SD necesita ser formateada. ¿Desea hacerlo ahora?,,,,,"La carte SD doit être formatée, le faire maintenant?",,,,,,,,"SDcard membutuhkan format ulang, proses sekarang？",,La scheda SD deve essere formattata. Vuoi farlo adesso?,,,,,,,,,,,,,,,,,,,,SD kaart moet worden geformateerd. Nu doen?,,,,"O Cartão de memoria tem de ser formatado, Formatar agora?",,,Необходимо отформатировать SD карту. Начать форматирование？,,,,"Неопходно форматирање меморијске картице, да ли желите?",,,,,,,,,,,,"SD卡需要格式化,是否现在格式化？",,"SD記憶卡需要格式化,是否現在格式化？",
firmware_upgrade_failure,Firmware upgrade failed!,,,,,,,,,Firmware upload fehlgeschlagen!,,,,Fallo en la actualización del Firmware,Fallo en la actualización del Firmware,,,,,Mise à jour du firmware échouée,,,,,,,,Firmware upload gagal!,,Upload del firmware fallito!,,,,,,,,,,,,,,,,,,,,Firmware bijwerken mislukt.,,,,Atualização de firmware falhou!,,,Загрузить прошивки не удалось!,,,,Неуспешно унапређење Фирмвера,,,,,,,,,,,,固件上传失败！,,韌體上傳失敗！,
file_not_exist,We are unable to find this file.,,,,,,,,,Die Datei wurde nicht gefunden.,,,,Imposible encontrar el archivo,Imposible encontrar el archivo,,,,,Impossible de trouver ce fichier,,,,,,,,Kami tidak dapat menemukan file ini,,Non è stato possibile trovare questo file.,,,,,,,,,,,,,,,,,,,,Dit bestand kan niet worden gevonden.,,,,Ficheiro inexistente,,,Невозможно найти этот файл.,,,,,,,,,,,,,,,,找不到该文件,,無檔案,
firmware_in_downloading,Downloading firmware update...,,,,,,,,,Firmware Update wird heruntergeladen...,,,,Descargando actualización de firmware...,Descargando actualización de firmware...,,,,,Téléchargement de la mise à jour du firmware,,,,,,,,Download versi terbaru firmware...,,Download del firmware in corso...,,,,,,,,,,,,,,,,,,,,Firmware update wordt gedownload...,,,,A Descarregar atualização de Firmware,,,Загрузить новую прошивку...,,,,Преузимање нове верзије Фирмвера,,,,,,,,,,,,固件正在下载中...,,韌體正在下載中...,
foursquare,FourSquare,,,,,,,,,FourSquare,,,,FourSquare,FourSquare,,,,,FourSquare,,,,,,,,FourSquare,,FourSquare,,,,,,,,,,,,,,,,,,,,FourSquare,,,,FourSquare,,,FourSquare,,,,FourSquare,,,,,,,,,,,,FourSquare,,FourSquare,
cube_ptr_release_to_refresh,Release To Refresh,,,,,,,,,Freisetzung in Aktualisieren,,,,Suelte para refrescar,Suelte para refrescar,,,,,Relacher pour mettre à jour,,,,,,,,Rilis Untuk Segarkan,,Rilascia per aggiornare,,,,,,,,,,,,,,,,,,,,Loslaten om bij te werken,,,,Libertar para atualizar,,,Выпуск Для Обновить,,,,,,,,,,,,,,,,释放刷新,釋放刷新,釋放刷新,
tvCurrentpic,1/1,,,,,,,,,1/1,,,,1/1,1/1,,,,,1/1,,,,,,,,1/1,,1/1,,,,,,,,,,,,,,,,,,,,1/1,,,,1/1,,,1/1,,,,1/1,,,,,,,,,,,,1/1,,1/1,
video_ratio,4:3,,,,,,,,,4:3,,,,4:3,4:3,,,,,4:3,,,,,,,,4:3,,4:3,,,,,,,,,,,,,,,,,,,,4:3,,,,4:3,,,4:3,,,,4:3,,,,,,,,,,,,4:3,,4:3,
selected_count_format_plural,%d items selected,,,,,,,,,%d Elemente ausgewählt,,,,%d elementos seleccionados,%d elementos seleccionados,,,,,%d items sélectionnés,,,,,,,,%d item dipilih,,&d oggetti selezionati,,,,,,,,,,,,,,,,,,,,%d items geselecteerd,,,,% itens selecionados,,,%d выбрано,,,,,,,,,,,,,,,,已选择 %d 张,,已選擇 %d 張,
video_edit_template,Template,,,,,,,,,Template,,,,Plantilla,Plantilla,,,,,Modèle,,,,,,,,Template,,Modelli,,,,,,,,,,,,,,,,,,,,Sjabloon,,,,Modelo,,,Образец,,,,,,,,,,,,,,,,模板,,範本,
downloading,Downloading,,,,,,,,,Downloading,,,,Descargando,Descargando,,,,,Téléchargement en cours,,,,,,,,Download,,In download,,,,,,,,,,,,,,,,,,,,Downloaden,,,,Descarregando,,,Загрузка,,,,Преузимање,,,,,,,,,,,,下载中,,下載中,
list_item_video_tvMonth,0,,,,,,,,,0,,,,0,0,,,,,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,0,,,,0,,,,,,,,,,,,0,,0,
standard_definition,SD,,,,,,,,,SD,,,,SD,SD,,,,,SD,,,,,,,,SD,,SD,,,,,,,,,,,,,,,,,,,,SD kaart moet worden geformateerd. Nu doen?,,,,SD,,,SD,,,,Меморијса картица,,,,,,,,,,,,标清,,標準,
loading_data,Loading...,,,,,,,,,Loading...,,,,Cargando...,Cargando...,,,,,Chargement...,,,,,,,,Memuat...,,In caricamento..,,,,,,,,,,,,,,,,,,,,Laden...,,,,A processar...,,,Загрузка...,,,,Учитавање,,,,,,,,,,,,正在加载,,正在載入,
prompt_video_file_downloaded,You have already downloaded this file.,,,,,,,,,Sie haben diese Datei bereits heruntergeladen.,,,,Este archivo ya fue descargado,Este archivo ya fue descargado,,,,,Fichier déjà téléchargé,,,,,,,,Anda telah mendownload file ini .,,Hai già scaricato questo file.,,,,,,,,,,,,,,,,,,,,Dit bestand is al gedownload.,,,,Ficheiro já descarregado,,,Вы уже загрузили этот файл.,,,,Фајл је већ преузет,,,,,,,,,,,,你已经下载过了!,,你已經下載過了!,
prompt_video_file_downloading,Downloading the video,,,,,,,,,Video wird geruntergeladen,,,,Descargando el video,Descargando el video,,,,,Vidéo en cours de téléchargement,,,,,,,,Download video,,Video in download,,,,,,,,,,,,,,,,,,,,Video wordt gedownload,,,,A Descarregar o video,,,Остановить загрузку,,,,Преузимање видеа,,,,,,,,,,,,视频正在下载中,,影片正在下載中,
facebook,Facebook,,,,,,,,,Facebook,,,,Facebook,Facebook,,,,,Facebook,,,,,,,,Facebook,,Facebook,,,,,,,,,,,,,,,,,,,,Facebook,,,,Facebook,,,Facebook,,,,Facebook,,,,,,,,,,,,Facebook,,Facebook,
save_video_file_success,We have saved this file to XXX.,,,,,,,,,Die Datei wurde unter XXX gespeichert.,,,,Video guardado en XXX,Video guardado en XXX,,,,,Fichier sauvegardé dans XXX,,,,,,,,File sudah disimpan di XXX.,,File salvato in XXX.,,,,,,,,,,,,,,,,,,,,Dit bestand is opgeslagen als XXX.,,,,Ficheiro gravado no ficheiro XXX,,,Файл сохранён в XXX.,,,,Фајл је сачуван у XXX,,,,,,,,,,,,文件已保存到XXX,,文件已保存到XXX,
common_google_play_services_sign_in_failed_text,Error signing in the specified account. Please choose a different account.,"""Kon nie by die gespesifiseerde rekening aanmeld nie. Kies 'n ander rekening.""",ወደተገለጸው መለያ መግባት ላይ ስህተት። እባክዎ የተለየ መለያ ይምረጡ።,حدث خطأ أثناء تسجيل الدخول إلى الحساب المحدد. الرجاء اختيار حساب مختلف.,"При влизането в посочения профил възникна грешка. Моля, изберете друг.",নির্দিষ্ট অ্যাকাউন্টে সাইন ইন করার সময় ত্রুটি৷ দয়া করে একটি আলাদা অ্যাকাউন্ট চয়ন করুন৷,"""S'ha produït un error en iniciar la sessió al compte especificat. Selecciona un altre compte.""",Při přihlašování k uvedenému účtu došlo k chybě. Zvolte prosím jiný účet.,Der opstod en fejl under login på angivne konto. Vælg en anden konto.,Fehler beim Anmelden im angegebenen Konto. Bitte wählen Sie ein anderes Konto aus.,Σφάλμα κατά τη σύνδεση στον συγκεκριμένο λογαριασμό. Επιλέξτε έναν διαφορετικό λογαριασμό.,Error signing in the specified account. Please choose a different account.,Error signing in the specified account. Please choose a different account.,Error al iniciar sesión en la cuenta especificada. Selecciona otra cuenta.,Se produjo un error al acceder con la cuenta especificada. Selecciona otra cuenta.,Määratud kontole sisselogimisel ilmnes viga. Valige teine konto.,Errore bat gertatu da zehaztutako kontuan saioa hastean. Aukeratu beste kontu bat.,هنگام وارد شدن به سیستم حساب مشخص شده خطایی روی داد. لطفاً یک حساب دیگر انتخاب کنید.,Määritettyyn tiliin kirjauduttaessa tapahtui virhe. Valitse toinen tili.,Erreur lors de la connexion au compte indiqué. Veuillez en sélectionner un autre.,Erreur lors de la connexion au compte indiqué. Veuillez en sélectionner un autre.,Produciuse un erro ao iniciar sesión na conta especificada. Escolle unha conta diferente.,निर्दिष्‍ट खाते में प्रवेश करने में त्रुटि. कृपया कोई भिन्‍न खाता चुनें.,Pogreška prilikom prijave na navedeni račun. Odaberite neki drugi račun.,"Hiba a megadott fiókba való bejelentkezéskor. Kérjük, válasszon egy másik fiókot.",Նշված հաշիվ մուտք գործելիս առաջացել է սխալ: Ընտրեք մեկ այլ հաշիվ:,Kesalahan saat masuk ke akun yang ditentukan. Pilih akun yang lain.,,Villa við að skrá tilgreindan reikning inn. Veldu annan reikning.,"""Errore durante l'accesso all'account specificato. Scegli un altro account.""",אירעה שגיאה בעת הכניסה אל החשבון המצוין. בחר חשבון אחר.,指定されたアカウントへのログイン中にエラーが発生しました。別のアカウントを選択してください。,მითითებულ ანგარიშზე შესვლის შეცდომა. გთხოვთ აირჩიოთ სხვა ანგარიში.,Көрсетілген есептік жазбаға кіру кезіндегі қате. Басқа есептік жазбаны таңдаңыз.,កំហុសក្នុងការចូលគណនីជាក់លាក់។ សូមជ្រើសរើសគណនីផ្សេងទៀត។,ಸೂಚಿಸಿದ ಖಾತೆಗೆ ಸೈನ್ ಇನ್ ಮಾಡುವಲ್ಲಿ ದೋಷ ಇದೆ. ದಯವಿಟ್ಟು ಮತ್ತೊಂದು ಖಾತೆಯನ್ನು ಆರಿಸಿ.,지정한 계정에 로그인하는 중에 오류가 발생했습니다. 다른 계정을 선택해 주세요.,Белгиленген каттоо эсепке кирүү катасы. Башка каттоо эсебин тандаңыз.,ການ​ເຂົ້າ​ສູ່ລະ​ບົບ​ບັນ​ຊີ​ລະ​ບຸ​ໄວ້​ຜິດ​ພາດ. ກະ​ລຸ​ນາ​ເລືອກ​ບັນ​ຊີ​ອື່ນ.,Klaida prisijungiant prie nurodytos paskyros. Pasirinkite kitą paskyrą.,"Pierakstoties norādītajā kontā, radās kļūda. Lūdzu, izvēlieties citu kontu.",Грешка при пријавување во наведената сметка. Изберете друга сметка.,നിർദ്ദിഷ്‌ട അക്കൗണ്ടിൽ സൈൻ ഇൻ ചെയ്യുന്നതിൽ പിശക്. മറ്റൊരു അക്കൗണ്ട് തിരഞ്ഞെടുക്കുക.,Хаягт нэвтрэхэд алдаа гарлаа. Өөр хаяг сонгоно уу.,निर्दिष्ट खात्यात साइन इन करताना त्रुटी. कृपया एक भिन्न खाते निवडा.,Ralat melog masuk ke akaun yang dinyatakan. Sila pilih akaun yang berbeza.,သတ်မှတ်ထားသောအကောင့်သို့ လက်မှတ်ထိုးဝင်ရောက်ရာတွင် မှားယွင်းနေပါသည်။ ကျေးဇူးပြု၍ အခြားအကောင့်တစ်ခုကို ရွေးချယ်ပါ။,Det oppsto en feil ved pålogging til den angitte kontoen. Velg en annen konto.,निर्दिष्ट खातामा साइन इन गर्दा त्रुटि भयो। कृपया फरक खाता रोज्नुहोस्।,Fout bij inloggen op het opgegeven account. Kies een ander account.,Błąd podczas logowania na określone konto. Wybierz inne.,Erro ao fazer login na conta especificada. Escolha outra conta.,Erro ao fazer login na conta especificada. Escolha outra conta.,Erro ao iniciar sessão na conta especificada. Escolha uma conta diferente.,Eroare la conectarea la contul specificat. Alegeți alt cont.,При входе в указанный аккаунт произошла ошибка. Выберите другой аккаунт.,,විශේෂිත ගිණුම පුරනය කිරීමේදී දෝෂයක්. කරුණාකර වෙනස් ගිණුමක් තෝරන්න.,Pri prihlasovaní do určeného účtu sa vyskytla chyba. Zvoľte iný účet.,Napaka pri prijavi v izbran račun. Izberite drug račun.,Дошло је до грешке при пријављивању на наведени налог. Изаберите други налог.,Ett fel uppstod när du försökte logga in på kontot. Välj ett annat konto.,Hitilafu wakati wa kuingia katika akaunti iliyobainishwa. Tafadhali chagua akaunti tofauti.,குறிப்பிட்ட கணக்கில் உள்நுழைவதில் பிழை. வேறு கணக்கைத் தேர்ந்தெடுக்கவும்.,పేర్కొన్న ఖాతాలో సైన్ ఇన్ చేయడంలో లోపం. దయచేసి వేరే ఖాతాను ఎంచుకోండి.,เกิดข้อผิดพลาดในการลงชื่อเข้าใช้บัญชีที่ระบุ โปรดเลือกบัญชีอื่น,Error sa pagsa-sign in sa tinukoy na account. Pakipili ng ibang account.,Belirtilen hesapta oturum açılırken hata oluştu. Lütfen farklı bir hesap seçin.,Не вдалося ввійти в указаний обліковий запис. Виберіть інший.,متعینہ اکاؤنٹ میں سائن ان کرنے میں خرابی آگئی۔ براہ کرم ایک مختلف اکاؤنٹ منتخب کریں۔,Ko‘rsatilgan hisobga kirishda xatolik yuz berdi. Boshqa hisob tanlang.,Lỗi khi đăng nhập vào tài khoản được chỉ định. Vui lòng chọn một tài khoản khác.,登录该帐户时出错。请选择其他帐户。,登入特定帳戶時發生錯誤。請選擇其他帳戶。,登入指定的帳戶時發生錯誤，請選擇其他帳戶。,Iphutha lokungena ngemvume ku-akhawunti ecacisiwe. Sicela ukhethe i-akhawunti ehlukile.
prompt_continue,Continue,,,,,,,,,Fortfahren,,,,Continuar,Continuar,,,,,Continuer,,,,,,,,Lanjutkan,,Continua,,,,,,,,,,,,,,,,,,,,Verder,,,,Continue,,,Продолжить,,,,Настави,,,,,,,,,,,,继续,,繼續,
prompt_please_login_first,Please log in first.,,,,,,,,,Bitte melden Sie sich zuerst an.,,,,Inicie sesión primero,Inicie sesión primero,,,,,Se connecter d'abord,,,,,,,,Login terlebih dahulu,,Per favore prima effettua l'accesso.,,,,,,,,,,,,,,,,,,,,Eerst inloggen,,,,Por favor proceda ao login primeiro,,,"Пожалуйста, войдите в свой профиль.",,,,Молим прво се пријавите,,,,,,,,,,,,请先登录！,,請先登錄！,
sns_home_my,My profile,,,,,,,,,Mein Profil,,,,Perfil Miui,Perfil Miui,,,,,Mon profil,,,,,,,,Profile Saya,,Il mio profilo,,,,,,,,,,,,,,,,,,,,Mijn profiel,,,,O meu Perfil,,,Мой профиль,,,,Мој налог,,,,,,,,,,,,我的,,我的,
tv_burst_five_per_sec,5p/s,,,,,,,,,5p/s,,,,5p/s,5p/s,,,,,5i/s,,,,,,,,5p/s,,5p/s,,,,,,,,,,,,,,,,,,,,5p/s,,,,5p/s,,,5 фото/с,,,,5 фото/сек,,,,,,,,,,,,5p/s,,5p/s,
sohumicroblog,Sohu Microblog,,,,,,,,,Sohu Microblog,,,,Sohu Microblog,Sohu Microblog,,,,,Sohu Microblog,,,,,,,,Sohu Microblog,,Sohu Microblog,,,,,,,,,,,,,,,,,,,,Sohu Microblog,,,,Sohu Microblog,,,Микроблог в Sohu,,,,,,,,,,,,,,,,搜狐微博,,搜狐微博,
factory_reset_title,Factory settings,,,,,,,,,Werkseinstellungen,,,,Configuración de fabrica,Configuración de fabrica,,,,,Paramètres d'usine,,,,,,,,Pengaturan Dasar,,Reset alle impostazioni di fabbrica,,,,,,,,,,,,,,,,,,,,Fabrieks intellingen,,,,Configurações de fabrica,,,Заводские настройки,,,,Фабричка подешавања,,,,,,,,,,,,出厂设置,,出廠設定,
firmware_upgrade_tip,"""Uploading the firmware,
 please keep the camera close to the phone.""",,,,,,,,,"""Firmware aufrüsten,
 bitte halten Sie die Kamera neben Ihr Telefon.""",,,,"”Actualizando el firmware, mantenga la cámara cerca del teléfono”","”Actualizando el firmware, mantenga la cámara cerca del teléfono”",,,,,"""Chargement du firmware, 
merci de garder la caméra à proximité du téléphone""",,,,,,,,"""Upload firmware
 dan letakan posisi kamera didekat telepon anda.""",,"""Firmware in upload,
 per favore tieni la camera vicino al telefono.""",,,,,,,,,,,,,,,,,,,,"""Firmware wordt geupload,
 houd de camera in de buurt van de telefoon.""",,,,"""Enviando o Firmware. For favor mantenha a camera perto do telemovel"".",,,"""Загрузка обновления,
 пожалуйста, держите камеру близко к телефону.""",,,,"Надограђујем Фирмвер, молим држите камеру близу телефона",,,,,,,,,,,,固件上传过程中，请保持相机靠近手机,,韌體上傳過程中，請保持相機靠近手機,
